Client ,Process ,Scheduled Day,Client Contact,Frequency,TAT,Process AHT,Peer review AHT
HMH,HMH DOD report,10th of the Month or the next business day if the 10th falls on a weekend,Helena,Monthly,,15,12
HMCO,Quarterly Cash Balance Reports,1st business day of every New quarter,Denise Soll,Monthly,EOD,15,12
Hilton,Hilton Quarterly RMD,"quarterly-first day of the second month of each quarter: 2/1, 5/1, 8/1, and 11/1)",Eric/Denise,Quarterly ,EOD,15,12
Hilton,Overpayment Report ,Wednesday,Eric Takehara,Weekly,ASAP,15,12
Hilton,OverpayRiskReduction,17th of each Month(or the first Monday for weekends and holidays),Eric Takehara,Monthly,ASAP,15,12
Hilton,Monthly MbcDbCalcVw Report,1st business day of the month,Helena,,,,
Hexion,OverpaymentRiskReductionReport,18th of each month (or first business day after holiday),Denise Soll,,,,
Hexion,HEXION AFN REPORT,After Receving Email/DMG Tool request ,Helena,Yearly,,,
Hexion,Hexion Billing Report,First business day of each month,Denise Soll,Monthly,,,
Hertz,Validator Reports ,Next day After Hertz Census Load,Helena,,,15,12
Hertz,Hertz Overpayment Risk Reduction Report,25th of each month (or first business day after),Denise Soll,Monthly,,,
Edgewell,1.  Small Sum Cash Out Report,1st business day of every  month,Eric Takehara,Monthly,4:30 PM CST,15,12
Edgewell,2.   The Ongoing Leveling Report,1st business day of every  month,Eric Takehara,Monthly,4:30 PM CST,15,12
Edgewell,3. The Monthly Validator Report,1st business day of every  month,Eric Takehara,Monthly,4:30 PM CST,15,12
Edgewell,1. The Age 62 Leveling Report,1st business day of every New quarter,Eric Takehara,Quarterly,4:30 PM CST,15,12
Edgewell,2.  The Age 65 Disability In Pay Report,1st business day of every New quarter,Eric Takehara,Quarterly,4:30 PM CST,15,12
Edgewell,3. The Age 65 Deferred Vested Report,1st business day of every New quarter,Eric Takehara,Quarterly,4:30 PM CST,15,12
Edgewell,4. Disbursement Report,Acc. to processing calender,Eric Takehara,Monthly,1:00 PM CST,15,12
Edgewell,5. Future Changes Report,20th of each month,Eric Takehara,Monthly,4:30 PM CST,15,12
Edgewell,Overpayment Risk Reduction Report,21ST  of each month,Helena,Monthly,,,
Edgewell,Edgewell Over Pay Parameter  Report,Every Monday,Helena,Weekly,,,
Conagra,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),,,,15,12
Conagra,Conagra AAC Table Recon Process,Last Conagra Financial file process or last Tuesday of the month,Paula,Monthly,,,
CBS,OverpaymentRiskReductionReport,13th of each month (or first business day after holiday) ,Paula,,,15,12
Campbell,OverpaymentRiskReductionReport,21st of each month (or first business day after holiday) ,Paula,,,15,12
BW Overpayment,BW Overpayment reports ,one day prior to 10th of every month,Denise Soll,Monthly ,EOD,30,15
BSA,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),,,,15,12
BJC,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),Joshua Reid,Monthly,12:00 PM CST,15,12
Bimbo,Bimbo Age 65/73 Report Instructions,"14th of the month following the quarter, or next business day if a weekend or holiday. in January, April, July, and October ",Joshua Reid,Quarterly ,,,
Bimbo,Bimbo Rehire Report ,1st business day of each month,Joshua Reid,Monthly,,,
Bcom,Interest Posting Process,After Receving Email,Carri Gradisca ,Monthly,24 hours,45,30
BCOm,BCom Maintenance Post Load Reports ,6th of Every month (or following business day).,Carri Gradisca ,Monthly,8:00 am CST,15,12
Bcom,Interest Posting Process,First Monday start after first BCOM Maintenace file,,,,,
BBU,Reports,"Monday, Wednesday and Friday",Jason,Thrice in a Week,EOD,15,12
AVON,New Avon Billing Report,1st business day of each month,Denise Soll,Monthly,,,
All Client DB Client,LumpSum Data,Monday,Ashish Gupta,Monthly,EOD,15,12
AIG,OverpaymentRiskReductionReport,22nd of each month (or first business day after holiday) ,Paula,,,15,12
AEP,Weekly Estimates Online Report,Wednesday,Eric Takehara,Weekly,9:00 AM CST,15,12
AEP,Person Status Report,1st business day of every  month,Eric Takehara,Monthly,12:00 AM CST,15,12
AEP,Monthly Person Status Detail Report,1st business day of every  month,Eric Takehara,Monthly,EOD,15,12
AEP,Adhoc Earning Global Audit Pull Request,After Receving Email/DMG Tool request ,Denise Soll,,,15,12
AEP,MbcDbCalcVw Report,1st business day of every  month,Denise Soll,,,,
AEP,Mandatory Cash Out Report,First business day of every quarter,Helena,,,,
AEP,Overpayment Parameter Report,Friday,Helena,Weekly,EOD,,
AEP,AEP Cash Balance Report,Run on the 20th of Janaury,Helena,Yearly,,,
AEP,AEP Cash Leveling Payment Report,"1st business day of every New quarter (January 1st, April 1st, July 1st and October 1st )",Helena,Quaterly,,15,12
ADP,Monthly Validator reports,1st business day of every  month,Denise Soll,Monthly,4:00 PM CST,15,12
ADP,	Opt Into Email Global Audit Report ,"15th of each quarter (Jan-Apr-Jul-Oct), or the next business day after if it falls on a weekend",Denise Soll,Bi -Weekly,EOD,15,12
ADP,ADP ACTIVE SUPSENDED REPORT,"1ST  of every month, or the next business day if the 1ST  falls on a weekend",Denise Soll,Monthly,,12,12
