Date,Clients,Process,Scheduled Day,TAT,Process AHT,Peer review AHT,Source
2026-04-01,MMC,MMC Post04 Report,1st business day of every  month,3:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,Edgewell,2.  The Age 65 Disability In Pay Report,1st business day of every New quarter,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,URS,AECOM/URS Billing Report,1st business day of each month,,,,REPORT.CSV
2026-04-01,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-04-01,Hilton,Monthly MbcDbCalcVw Report,1st business day of the month,,,,REPORT.CSV
2026-04-01,Rock Tenn,1. Term Report,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,AEP,Person Status Report,1st business day of every  month,12:00 AM CST,15.0,12.0,REPORT.CSV
2026-04-01,HMCO,Quarterly Cash Balance Reports,1st business day of every New quarter,EOD,15.0,12.0,REPORT.CSV
2026-04-01,Rock Tenn,2. TV NRD Report,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,TForce Freight,Suspension of Benefits,First business day of every month,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,Kinder Morgan,Monthly Billing Counts Report,1st day of the month,,15.0,12.0,REPORT.CSV
2026-04-01,BBU,Census and Financial Load,Wednesday,EOD,120.0,30.0,DATALOAD.CSV
2026-04-01,Kaiser,TSPMG Financial,Bi - Weekly Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-01,Kinder Morgan,18. Plantation Pipeline Population Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-04-01,Kaiser,SCPMG Census, Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-01,MMC,MMC Future Change Report,1st business day of every  month,EOD,15.0,12.0,REPORT.CSV
2026-04-01,Kaiser,HCM census file,Wednesday,,,,DATALOAD.CSV
2026-04-01,AEP,AEP Total Rewards File Transfer,Wednesday,6:00 AM EST and 10:00 AM EST ,15.0,10.0,DATALOAD.CSV
2026-04-01,ADP,Monthly Validator reports,1st business day of every  month,4:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-01,Edgewell,1.  Small Sum Cash Out Report,1st business day of every  month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-04-18,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-18,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-20,ADP,Census Data Load,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-04-20,CAMPBELL,Census Data Load,Monday & Thursday,,40.0,20.0,DATALOAD.CSV
2026-04-20,Lyondell,"U4, U7, U8",As per Calender,EOD,85.0,30.0,DATALOAD.CSV
2026-04-20,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-20,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-20,Kaiser,CPMG Census , Monday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-20,ConAgra,Census File Processing,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-04-20,Edgewell,Weekly,5th and 20th of each month,12:30 PM CST,60.0,25.0,DATALOAD.CSV
2026-04-20,BCOM3,Data Load,Monday,EOD,55.0,30.0,DATALOAD.CSV
2026-04-20,ConAgra,Financial File Processing,Monday,EOD,90.0,25.0,DATALOAD.CSV
2026-04-20,Kaiser,HPMG Financial,Bi -Weekly Monday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-20,Lyondell,Census Data Load,Monday,EOD,90.0,30.0,DATALOAD.CSV
2026-04-20,AIG,PPSFT ,Monday,,90.0,25.0,DATALOAD.CSV
2026-04-20,AIG,BERMUDa,Monday,,45.0,25.0,DATALOAD.CSV
2026-04-20,BJC,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),12:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-20,Edgewell,5. Future Changes Report,20th of each month,4:30 PM CST,15.0,12.0,REPORT.CSV
2026-04-20,HMH,Risk Reduction Report,20th of each month,,15.0,12.0,REPORT.CSV
2026-04-20,Hexion,OverpaymentRiskReductionReport,18th of each month (or first business day after holiday),,,,REPORT.CSV
2026-04-20,All Client DB Client,LumpSum Data,Monday,EOD,15.0,12.0,REPORT.CSV
2026-04-20,Kinder Morgan,Weekly Superceding Calc Indicator/Update Report,Monday,8:00 am CST,15.0,12.0,REPORT.CSV
2026-04-20,Conagra,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),,15.0,12.0,REPORT.CSV
2026-04-20,BBU,Reports,"Monday, Wednesday and Friday",EOD,15.0,12.0,REPORT.CSV
2026-04-20,SSCC,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),,,,REPORT.CSV
2026-04-20,Kinder Morgan,2. Weekly Address Change Report ,Monday,12:00 PM CST,15.0,12.0,REPORT.CSV
2026-04-20,Volvo,Overpayment Risk Reduction Report,20th of each month (or first business day after),,,,REPORT.CSV
2026-04-20,Edgewell,Edgewell Over Pay Parameter  Report,Every Monday,,,,REPORT.CSV
2026-04-20,BSA,OverpaymentRiskReductionReport,20th of each month (or first business day after holiday),,15.0,12.0,REPORT.CSV
2026-04-20,Region/AMSouth,Overpayment Risk Reduction Report,20th of each month (or first business day after),,,,REPORT.CSV
2026-04-21,Kinder Morgan,BW to Benecalc,Daily except Wednesday,4:00 PM CST,70.0,20.0,DATALOAD.CSV
2026-04-21,Campbell,OverpaymentRiskReductionReport,21st of each month (or first business day after holiday) ,,15.0,12.0,REPORT.CSV
2026-04-21,Edgewell,Overpayment Risk Reduction Report,21ST  of each month,,,,REPORT.CSV
2026-04-21,Hexion,Census Data Load,Tuesday,24 hrs after receive the file,50.0,20.0,DATALOAD.CSV
2026-04-21,HMH,Census Data Load,Tuesday,EOD,90.0,30.0,DATALOAD.CSV
2026-04-21,Volvo,SAP HRIS LOAD,Tuesday (Please process on Monday on 14th Sept'26 and 14 DEC'26),,90.0,25.0,DATALOAD.CSV
2026-04-21,AIG,Warnings,Tuesday After dataLoad,,150.0,60.0,DATALOAD.CSV
2026-04-21,Kaiser,TSPMG Census , Tuesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-21,AEP,Census Data Load,Daily,11:30 AM CST,61.0,20.0,DATALOAD.CSV
2026-04-21,MMC,MMC OTR Batch Automation Review,"21st of every month, or the first business day after the 21st, if that falls over a weekend", before 12 PM ET,,,REPORT.CSV
2026-04-21,CAMPBELL,Weekly Financial/Earnings (Hourly participants),Tuesday,,40.0,20.0,DATALOAD.CSV
2026-04-22,AEP,Weekly Estimates Online Report,Wednesday,9:00 AM CST,15.0,12.0,REPORT.CSV
2026-04-22,BBU,Census and Financial Load,Wednesday,EOD,120.0,30.0,DATALOAD.CSV
2026-04-22,BOSCH,Data Load,Wednesday ,,,,DATALOAD.CSV
2026-04-22,Kaiser,SCPMG Census, Wednesday,EOD,105.0,30.0,DATALOAD.CSV
2026-04-22,Hilton,Overpayment Report ,Wednesday,ASAP,15.0,12.0,REPORT.CSV
