Date,Clients,Data Load,Target Time 
16-04-2026,Bimbo,Cash Balance - 9451/9481,EOD
,,,
,,,
Date,Clients,Data Load,Target Time 
17-04-2026,AEP,Census Data Load,11:30 AM CST
17-04-2026,AEP,InactiveDataFile,11:30 AM CST
17-04-2026,Kaiser,MAPMG Financial,EOD
17-04-2026,Kaiser,HPMG Census,EOD
17-04-2026,Kinder Morgan,Bi-Weekly Pay File (2nd Part),4:00 PM CST
17-04-2026,Kinder Morgan,BW to Benecalc,4:00 PM CST
17-04-2026,WestRock,Data Load,Next day (12:00 PM CST)
17-04-2026,NYSE,HRIS Data Load,EOD
17-04-2026,TForce Freight,Data Load,EOD
Date,Clients,Reports,Target Time 
17-04-2026,MMC,MMC Weekly Disbursement Report,11 AM CST
17-04-2026,MMC,MMC Other Bank Disbursements Report ,11:00 AM CST
17-04-2026,MMC,MMC Weekly Phased Retirement Status Code Report,12:00 PM CST
17-04-2026,MMC,Overpayment Risk Reduction Report ,EOD
17-04-2026,Kinder Morgan,1. Weekly Death  Report ,12:00 PM CST
17-04-2026,Kinder Morgan,Data Validation Reports ,12 PM CST
17-04-2026,Hilton,OverpayRiskReduction,ASAP
17-04-2026,Hertz,Validator Reports ,EOD
17-04-2026,BBU,Reports,EOD
17-04-2026,AEP,Overpayment Parameter Report,EOD
17-04-2026,EL PASO,Death Entered Too Soon Report,EOD
17-04-2026,MMC,Manual calc - 9463,EOD
17-04-2026,Kinder Morgan,Kinder Morgan WDIH Biweekly Batch Processing,9:00 AM CST
,,,
,,,
Date,Clients,Data Load,Target Time 
20-04-2026,AEP,Census Data Load,11:30 AM CST
20-04-2026,ADP,Census Data Load,EOD
20-04-2026,AIG,PPSFT ,EOD
20-04-2026,AIG,BERMUDa,EOD
20-04-2026,Kaiser,HPMG Financial,EOD
20-04-2026,Kaiser,CPMG Census ,EOD
20-04-2026,Kinder Morgan,BW to Benecalc,4:00 PM CST
20-04-2026,ConAgra,Census File Processing,EOD
20-04-2026,ConAgra,Financial File Processing,EOD
20-04-2026,Lyondell,Census Data Load,EOD
20-04-2026,BCOM3,Data Load,EOD
20-04-2026,CAMPBELL,Census Data Load,EOD
20-04-2026,Edgewell,Data Load,11:30:00 AM CST
20-04-2026,Lyondell,"U4, U7, U8",EOD
Date,Clients,Reports,Target Time 
20-04-2026,Volvo,Overpayment Risk Reduction Report,EOD
20-04-2026,SSCC,OverpaymentRiskReductionReport,EOD
20-04-2026,Region/AMSouth,Overpayment Risk Reduction Report,EOD
20-04-2026,Kinder Morgan,2. Weekly Address Change Report ,12:00 PM CST
20-04-2026,Kinder Morgan,Weekly Superceding Calc Indicator/Update Report,8:00 am CST
20-04-2026,HMH,Risk Reduction Report,EOD
20-04-2026,Edgewell,5. Future Changes Report,4:30 PM CST
20-04-2026,Edgewell,Edgewell Over Pay Parameter  Report,EOD
20-04-2026,Conagra,OverpaymentRiskReductionReport,EOD
20-04-2026,BSA,OverpaymentRiskReductionReport,EOD
20-04-2026,BJC,OverpaymentRiskReductionReport,12:00 PM CST
20-04-2026,BBU,Reports,EOD
20-04-2026,All Client DB Client,LumpSum Data,EOD
20-04-2026,Hexion,OverpaymentRiskReductionReport,EOD
20-04-2026,AEP,Manual calc- 9466,EOS
20-04-2026,Lyondell,Core Trigger - 9468,EOD
,,,
,,,
Date,Clients,Reports,Target Time 
21-04-2026,AEP,Census Data Load,11:30 AM CST
21-04-2026,AIG,Warnings,EOD
